f,g,key norm,h,k1 (non-ternary),k1-norm,k2 (ternary),k2-norm,beta1,beta2,guessed T,guessed v(lagrange),guessed v(monomial),total time (seconds)
"1, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, -1, 0, -1, 0, 1, 0, 0, 0, 0, 1, -1, -1, 1, 0, 0, 1, 0, 0, -1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, -1, 0, 0, 0, 0, -1, 1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, -1, 0, -1, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, -1, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0","0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, -1, 1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, -1, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 1, -1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, -1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, -1, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 1, 0",10.6301458127347,"54, 92, 39, 31, 111, 46, 6, 59, 69, 9, 43, 92, 77, 4, 42, 59, 13, 47, 98, 15, 53, 91, 90, 22, 36, 105, 12, 12, 9, 107, 32, 5, 109, 43, 22, 45, 16, 29, 5, 32, 31, 47, 79, 74, 79, 10, 90, 27, 55, 16, 74, 4, 101, 79, 1, 79, 26, 44, 85, 85, 4, 34, 20, 89, 37, 24, 83, 50, 97, 3, 2, 17, 44, 110, 32, 4, 8, 32, 12, 99, 25, 27, 21, 18, 76, 85, 101, 112, 98, 83, 8, 108, 19, 84, 34, 56, 49, 87, 46, 73, 0, 80, 5, 64, 19, 11, 105, 100, 58, 18, 90, 34, 22, 70, 92, 37, 34, 34, 13, 88, 39, 0, 12, 90, 94, 59, 72, 60, 37, 89, 55, 106, 92, 3, 111, 48, 88, 64, 62, 84, 103, 49, 16, 24, 77, 53, 32, 37, 83, 44, 100, 22, 70, 73, 14, 5, 92, 11, 87, 40, 5, 79, 1, 29, 9, 62, 92, 78, 35, 32, 37, 36, 12, 70, 9, 48, 60, 112, 27, 21, 55, 72, 99, 38, 105, 24, 11, 41, 53, 100, 9, 28, 79, 106, 27, 107","-1, 1, 0, 0, -1, 1, 0, 1, 1, 0, 0, 0, 1, -1, 1, -2, -1, -1, -1, 2, 0, -1, 2, 1, 2, 0, 0, 2, 1, 0, 1, -1, 1, -2, -2, 1, 1, -1, -1, 0, 0, -2, -1, 1, -1, 1, -1, -2, -1, -1, 1, 0, 0, 1, -1, 0, -1, 1, 0, -2, 0, -1, -1, -1, 0, 1, -1, -1, 0, 0, 1, -2, 1, 0, 0, 0, 0, 1, 0, 1, 1, -1, 2, 0, -1, 1, 1, -1, 0, -2, 2, 1, -1, -1, 1, -1, 2, 1, -1, 1, -1, 1, 1, -1, 0, 0, 1, 1, 1, 1, 1, -1, 0, 1, 0, 0, 0, -1, 0, -1, -1, 2, 1, 0, 1, 0, 0, -1, 0, 0, 0, 1, 0, 0, 1, -1, 1, 1, 1, -1, -2, 0, -1, -1, -1, 0, -3, 3, 1, -1, -1, 3, 1, 2, 0, -1, -1, -1, 1, 1, -1, 0, 1, 0, 0, 0, 1, 0, -1, 1, 0, -1, 2, 1, -2, 0, -1, 0, 0, 0, -1, 0, 0, -1, 1, -1, 1, 1, -1, 0, 0, -1, -1, -3, 0, -1, -1, 1, 0, 0, -1, 1, 0, 1, 1, 0, 0, 0, 1, -1, 1, -2, -1, -1, -1, 2, 0, -1, 2, 1, 2, 0, 0, 2, 1, 0, 1, -1, 1, -2, -2, 1, 1, -1, -1, 0, 0, -2, -1, 1, -1, 1, -1, -2, -1, -1, 1, 0, 0, 1, -1, 0, -1, 1, 0, -2, 0, -1, -1, -1, 0, 1, -1, -1, 0, 0, 1, -2, 1, 0, 0, 0, 0, 1, 0, 1, 1, -1, 2, 0, -1, 1, 1, -1, 0, -2, 2, 1, -1, -1, 1, -1, 2, 1, -1, 1, -1, 1, 1, -1, 0, 0, 1, 1, 1, 1, 1, -1, 0, 1, 0, 0, 0, -1, 0, -1, -1, 2, 1, 0, 1, 0, 0, -1, 0, 0, 0, 1, 0, 0, 1, -1, 1, 1, 1, -1, -2, 0, -1, -1, -1, 0, -3, 3, 1, -1, -1, 3, 1, 2, 0, -1, -1, -1, 1, 1, -1, 0, 1, 0, 0, 0, 1, 0, -1, 1, 0, -1, 2, 1, -2, 0, -1, 0, 0, 0, -1, 0, 0, -1, 1, -1, 1, 1, -1, 0, 0, -1, -1, -3, 0, -1",21.3541565040626,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, -1, 0, -1, 0, 1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 1, 0, 1, -1, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, -1, 0, 0, 0, 0, -1, 0, 1, -1, 0, 0, -1, 0, 0, -1, -1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, -1, 0, 0, 0, -1, 0, -1, 0, 0, -1, -1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, -1, 0, -1, 0, 1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 1, 0, 1, -1, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, -1, 0, 0, 0, 0, -1, 0, 1, -1, 0, 0, -1, 0, 0, -1, -1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, -1, 0, 0, 0, -1, 0, -1, 0, 0, -1, -1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, -1, -1, 0, -1",10.6770782520313,52,54,"{34, 7, 42, 48, 18, 28}","0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 81","30, 33, 30, 8, 100, 95, 43, 26, 72, 63, 50, 39, 61, 28, 7, 76, 43, 86, 104, 15, 8, 59, 69, 86, 30, 8, 2, 85, 11, 3, 90, 83, 112, 37, 3, 28, 9, 99, 44, 10, 56, 93, 19, 9, 59, 9, 6, 15, 109, 112, 78, 112, 60, 72, 91, 40, 82, 88, 77, 36, 10, 62, 97, 109, 5, 40, 80, 102, 56, 60, 47, 9, 80, 112, 60, 15, 16, 26, 79, 110, 1, 49, 108, 79, 97, 11, 8, 104, 75, 81, 76, 86, 11, 47, 11, 45, 56, 83, 92, 56, 92, 17, 43, 103, 49, 27, 40, 35, 78, 97, 59, 3, 29, 105, 49, 98, 108, 46, 17, 83, 76, 98, 92, 17, 89, 110, 94, 77, 50, 21, 12, 8, 77, 3, 5, 55, 37, 106, 6, 14, 111, 5, 83, 5, 41, 46, 48, 103, 102, 103, 35, 42, 6, 61, 29, 89, 92, 21, 100, 55, 66, 73, 50, 61, 9, 3, 108, 35, 18, 90, 9, 103, 35, 37, 47, 34, 112, 83, 10, 38, 63, 112, 66, 110, 80, 23, 72, 19, 82, 69, 110, 18, 110, 111, 108, 39",33912.6633245945
"0, 0, 1, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 1, 1, 1, 0, -1, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 1, 1, 0, 0, 1, -1, 0, 0, 0, 1, 1, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1, 1, 0, 1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 1, 0, 0, -1, 0, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, -1, 0, 1, 0","0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 1, -1, 1, -1, 0, 0, 0, 0, 0, 1, -1, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, -1, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, -1, 0, 0, 1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 1, -1, 0, 0, -1, 1, 0, 0, 0, -1, 0, 1, 0, 0, 1, 0, 1, 0, 1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 1, 0, 0, 0, -1, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0",10.6301458127347,"14, 87, 32, 4, 34, 33, 90, 65, 93, 111, 69, 36, 40, 92, 19, 46, 98, 74, 58, 73, 91, 111, 4, 7, 62, 98, 78, 45, 22, 66, 49, 31, 58, 86, 6, 3, 19, 52, 31, 6, 100, 79, 99, 41, 12, 93, 15, 52, 15, 101, 100, 64, 104, 1, 57, 71, 83, 83, 108, 40, 37, 68, 79, 102, 68, 79, 87, 8, 65, 69, 89, 28, 42, 74, 101, 60, 41, 103, 61, 39, 25, 62, 46, 36, 43, 0, 100, 11, 81, 4, 34, 54, 15, 104, 103, 15, 59, 34, 80, 20, 111, 84, 59, 75, 37, 24, 44, 53, 48, 102, 8, 56, 110, 59, 85, 2, 104, 67, 4, 106, 29, 15, 76, 75, 82, 82, 106, 93, 12, 101, 73, 31, 50, 19, 107, 68, 62, 31, 7, 31, 50, 66, 76, 18, 73, 9, 45, 19, 0, 51, 62, 28, 49, 41, 67, 1, 13, 30, 99, 102, 109, 17, 54, 61, 88, 2, 58, 44, 103, 51, 82, 54, 96, 71, 2, 50, 85, 44, 55, 89, 98, 92, 27, 43, 100, 77, 57, 37, 66, 31, 70, 25, 71, 95, 65, 94","0, -1, 0, 1, 1, 0, -1, 0, -1, 1, -1, -1, 0, 0, 0, 0, 1, 0, -2, 1, 2, 1, -1, 1, -1, 0, -1, 1, 1, 1, 0, -1, -1, 1, -1, -1, 0, 0, 1, 0, -1, 0, 0, 0, -2, 1, 1, 1, 0, 0, 1, 0, -1, 1, 0, 1, 0, 1, 1, -1, -1, -2, 0, 0, 2, -1, 0, 0, -1, 0, -1, 1, -1, 3, 0, 1, 1, 1, -1, -2, -1, -1, -1, -1, -1, 0, 0, 1, 0, -1, -2, -2, 0, 2, 1, 3, -1, 2, 0, 0, -2, 1, 2, 1, -1, -1, 0, -1, -2, -1, 0, 0, -1, 2, -1, 0, -1, 0, 1, 0, 0, 1, 0, 0, -1, 0, 1, 1, 2, -2, 1, -1, 2, -1, 0, 1, 0, 1, 0, 0, 0, -1, 0, 1, 0, 0, -1, -2, 0, 0, -1, 0, 1, 1, 1, 4, -1, 0, 1, 0, 0, -1, 0, -1, 0, -1, -2, -1, 0, 2, 1, 0, 0, -1, 0, -1, -1, -2, 0, 1, 1, 0, 1, 0, -1, 0, -1, 0, 2, 0, -1, 0, 1, 2, 2, -1, 0, -1, 0, 1, 1, 0, -1, 0, -1, 1, -1, -1, 0, 0, 0, 0, 1, 0, -2, 1, 2, 1, -1, 1, -1, 0, -1, 1, 1, 1, 0, -1, -1, 1, -1, -1, 0, 0, 1, 0, -1, 0, 0, 0, -2, 1, 1, 1, 0, 0, 1, 0, -1, 1, 0, 1, 0, 1, 1, -1, -1, -2, 0, 0, 2, -1, 0, 0, -1, 0, -1, 1, -1, 3, 0, 1, 1, 1, -1, -2, -1, -1, -1, -1, -1, 0, 0, 1, 0, -1, -2, -2, 0, 2, 1, 3, -1, 2, 0, 0, -2, 1, 2, 1, -1, -1, 0, -1, -2, -1, 0, 0, -1, 2, -1, 0, -1, 0, 1, 0, 0, 1, 0, 0, -1, 0, 1, 1, 2, -2, 1, -1, 2, -1, 0, 1, 0, 1, 0, 0, 0, -1, 0, 1, 0, 0, -1, -2, 0, 0, -1, 0, 1, 1, 1, 4, -1, 0, 1, 0, 0, -1, 0, -1, 0, -1, -2, -1, 0, 2, 1, 0, 0, -1, 0, -1, -1, -2, 0, 1, 1, 0, 1, 0, -1, 0, -1, 0, 2, 0, -1, 0, 1, 2, 2, -1",21.3541565040626,"0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, -1, 0, -1, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, -1, 1, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 1, -1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, -1, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, -1, 0, -1, 0, 1, 0, 1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, -1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, -1, 0, -1, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, -1, 1, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 1, -1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, -1, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, -1, 0, -1, 0, 1, 0, 1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, -1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 1, 0",10.6770782520313,54,54,"{18, 5, 13, 38}","0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","43, 42, 26, 77, 9, 99, 100, 37, 65, 45, 25, 5, 95, 82, 24, 88, 45, 70, 60, 107, 56, 14, 27, 101, 12, 9, 93, 23, 54, 112, 97, 39, 59, 98, 1, 46, 80, 21, 48, 35, 65, 58, 8, 38, 4, 68, 49, 8, 19, 62, 8, 48, 90, 34, 35, 89, 77, 7, 57, 107, 44, 45, 21, 53, 6, 57, 51, 76, 15, 86, 78, 102, 30, 83, 34, 50, 112, 91, 59, 40, 72, 22, 94, 54, 111, 26, 4, 106, 82, 7, 81, 93, 18, 103, 56, 47, 93, 9, 78, 21, 13, 95, 61, 106, 50, 75, 89, 79, 69, 59, 104, 41, 12, 44, 79, 35, 30, 110, 28, 7, 70, 107, 6, 61, 103, 68, 27, 56, 105, 76, 86, 49, 57, 23, 40, 67, 24, 74, 89, 29, 4, 19, 2, 34, 81, 4, 66, 51, 105, 65, 23, 79, 78, 24, 36, 106, 56, 6, 69, 68, 92, 60, 107, 56, 62, 37, 98, 27, 35, 11, 83, 30, 79, 63, 1, 22, 54, 73, 41, 91, 19, 59, 2, 87, 109, 7, 31, 106, 32, 20, 95, 10, 57, 66, 20, 104",39542.6013717651
