f,g,key norm,h,k1 (non-ternary),k1-norm,k2 (ternary),k2-norm,beta1,beta2,guessed I,guessed v(lagrange),guessed v(monomial),total time (seconds)
"0, 0, 0, -1, 0, 0, 0, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, -1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, -1, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 1, 0, 0, -1, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, 0, 0, -1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0","0, 1, -1, 0, 1, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, -1, -1, 0, 0, -1, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, -1, 1, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, -1, 0, 0, 0, 1, 0, 1, 0, 0, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 1, 0, -1, -1, 1, 0, 1, 0, -1, 0, 0, 1, 0",10.6301458127347,"98, 26, 53, 58, 83, 24, 11, 104, 83, 36, 31, 49, 23, 104, 22, 37, 2, 25, 59, 18, 100, 54, 32, 34, 73, 67, 64, 26, 8, 42, 18, 46, 54, 42, 103, 80, 56, 23, 83, 94, 65, 35, 105, 5, 9, 79, 4, 60, 68, 69, 14, 108, 29, 15, 81, 46, 26, 44, 28, 101, 57, 9, 109, 77, 63, 100, 30, 107, 97, 28, 94, 84, 50, 94, 72, 61, 52, 66, 60, 23, 3, 97, 55, 111, 9, 58, 33, 29, 45, 102, 59, 95, 104, 100, 111, 24, 58, 95, 99, 92, 87, 3, 24, 80, 95, 110, 75, 40, 106, 44, 46, 45, 57, 20, 40, 91, 8, 97, 96, 88, 103, 104, 24, 69, 11, 33, 82, 27, 49, 36, 105, 90, 80, 77, 46, 23, 65, 28, 86, 44, 64, 35, 64, 88, 70, 95, 7, 105, 46, 43, 36, 22, 26, 106, 81, 49, 32, 102, 97, 112, 72, 16, 0, 76, 109, 24, 78, 16, 86, 107, 44, 52, 8, 49, 23, 16, 102, 93, 54, 109, 35, 0, 105, 35, 36, 57, 64, 86, 41, 108, 79, 93, 26, 60, 9, 27","-1, -1, 1, -1, 0, -1, 1, -1, 0, 0, 2, 0, -2, -1, 1, -1, 0, 1, 1, 1, -1, -1, 0, 0, -1, 1, 1, 2, 0, 2, -1, 0, 1, -1, -1, -1, -1, 0, -2, 1, 2, -1, 1, -1, 0, 0, 0, 1, 1, -1, 1, 1, 1, -2, -1, -1, 1, 2, -2, 0, 2, 0, -1, -1, -1, 0, -1, 1, -1, -1, -1, 0, 0, 1, 1, -1, 0, 0, 2, 1, 2, 1, 1, -1, 1, -1, 0, 2, -1, 0, -1, -1, -1, 0, 0, 0, -1, 1, 1, 3, 1, 0, 0, -1, 2, 1, -1, -1, -1, 0, 0, 0, -2, -1, 0, 0, 0, 0, 1, 0, -1, 0, 1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, 0, 0, -1, -1, -1, 1, 0, 1, 1, 3, 1, 2, 2, 0, 1, 1, 1, 0, 0, 1, 0, -1, -1, 1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 2, -1, 0, -1, -1, 1, 2, -3, -1, 1, -1, 1, -2, -1, 0, 0, 1, -1, 1, 1, 0, -1, 1, 1, 1, 2, -2, 0, -1, -1, 1, -1, 0, -1, 1, -1, 0, 0, 2, 0, -2, -1, 1, -1, 0, 1, 1, 1, -1, -1, 0, 0, -1, 1, 1, 2, 0, 2, -1, 0, 1, -1, -1, -1, -1, 0, -2, 1, 2, -1, 1, -1, 0, 0, 0, 1, 1, -1, 1, 1, 1, -2, -1, -1, 1, 2, -2, 0, 2, 0, -1, -1, -1, 0, -1, 1, -1, -1, -1, 0, 0, 1, 1, -1, 0, 0, 2, 1, 2, 1, 1, -1, 1, -1, 0, 2, -1, 0, -1, -1, -1, 0, 0, 0, -1, 1, 1, 3, 1, 0, 0, -1, 2, 1, -1, -1, -1, 0, 0, 0, -2, -1, 0, 0, 0, 0, 1, 0, -1, 0, 1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, 0, 0, -1, -1, -1, 1, 0, 1, 1, 3, 1, 2, 2, 0, 1, 1, 1, 0, 0, 1, 0, -1, -1, 1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 2, -1, 0, -1, -1, 1, 2, -3, -1, 1, -1, 1, -2, -1, 0, 0, 1, -1, 1, 1, 0, -1, 1, 1, 1, 2, -2, 0",21.3541565040626,"0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 1, 0, 0, -1, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 1, 1, 0, 0, 1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, -1, 0, 0, 1, 0, 0, -1, 0, 1, 0, 0, -1, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, -1, -1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, -1, -1, -1, 0, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 1, 0, 0, -1, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 1, 1, 0, 0, 1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, -1, 0, 0, 1, 0, 0, -1, 0, 1, 0, 0, -1, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, -1, -1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, -1, -1, -1, 0, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1",10.6770782520313,51,51,"{0, 16}","102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","6, 88, 38, 74, 30, 21, 32, 88, 38, 74, 30, 21, 32, 6, 38, 74, 30, 21, 32, 6, 88, 74, 30, 21, 32, 6, 88, 38, 30, 21, 32, 6, 88, 38, 74, 21, 32, 6, 88, 38, 74, 30, 32, 6, 88, 38, 74, 30, 21, 55, 91, 47, 38, 49, 23, 105, 91, 47, 38, 49, 23, 105, 55, 47, 38, 49, 23, 105, 55, 91, 38, 49, 23, 105, 55, 91, 47, 49, 23, 105, 55, 91, 47, 38, 23, 105, 55, 91, 47, 38, 49, 105, 55, 91, 47, 38, 49, 23, 53, 24, 72, 51, 39, 16, 19, 24, 72, 51, 39, 16, 19, 53, 72, 51, 39, 16, 19, 53, 24, 51, 39, 16, 19, 53, 24, 72, 39, 16, 19, 53, 24, 72, 51, 16, 19, 53, 24, 72, 51, 39, 19, 53, 24, 72, 51, 39, 16, 88, 10, 30, 106, 101, 82, 55, 10, 30, 106, 101, 82, 55, 88, 30, 106, 101, 82, 55, 88, 10, 106, 101, 82, 55, 88, 10, 30, 101, 82, 55, 88, 10, 30, 106, 82, 55, 88, 10, 30, 106, 101, 55, 88, 10, 30, 106, 101, 82",41016.2382717133
"1, 0, 0, -1, 0, 1, 0, 0, -1, 0, 0, 1, 0, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 1, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, -1, 0, 1, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 1, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, -1, 0, -1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, -1, -1, 0, 0, 1, 0, 0, -1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, -1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 1, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, -1, -1","0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, -1, -1, 1, 1, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 1, 0, 0, 1, -1, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, -1, 0, -1, 1, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 1, -1, 0, 1, -1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, -1, 1, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0",10.6301458127347,"16, 43, 74, 92, 87, 85, 68, 67, 12, 12, 61, 92, 80, 1, 84, 60, 73, 11, 55, 16, 61, 64, 38, 45, 27, 46, 74, 104, 62, 73, 94, 80, 51, 72, 37, 59, 50, 93, 29, 46, 31, 55, 4, 31, 32, 77, 15, 31, 35, 99, 103, 34, 11, 30, 26, 70, 41, 34, 0, 28, 52, 62, 29, 87, 86, 55, 91, 66, 72, 2, 78, 39, 103, 83, 64, 56, 24, 51, 109, 18, 107, 38, 38, 52, 57, 6, 69, 42, 22, 22, 103, 86, 37, 110, 55, 2, 39, 29, 69, 18, 76, 8, 44, 29, 104, 33, 90, 96, 59, 13, 31, 2, 43, 39, 35, 93, 20, 60, 7, 34, 0, 40, 43, 1, 26, 29, 63, 101, 81, 41, 17, 30, 2, 105, 86, 64, 2, 11, 47, 85, 111, 80, 96, 69, 38, 77, 75, 48, 48, 53, 45, 23, 67, 59, 6, 95, 72, 56, 36, 49, 6, 88, 65, 109, 72, 106, 6, 27, 51, 65, 86, 54, 79, 24, 80, 39, 16, 59, 7, 51, 15, 47, 5, 64, 1, 61, 89, 16, 105, 91, 51, 49, 99, 79, 80, 3","-1, 0, 0, 0, 0, 0, -1, 2, 0, 0, 0, 1, -1, -1, 0, 0, 1, -1, 1, 3, 1, 1, -1, 1, -2, 0, -1, 0, -2, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, 0, 1, -1, 2, 2, 1, -2, -1, 0, 1, -1, 0, 0, 2, 0, -2, -1, 2, 0, 0, 0, 1, 1, -1, -2, 0, 1, -1, -1, -1, -1, 1, 1, -1, 0, 0, -1, -2, 0, 0, 2, 0, 0, 0, 0, 0, 1, -1, 1, 0, 3, 1, 2, 0, -1, 0, -1, 0, -1, 2, 0, 0, -1, -1, -2, 0, 0, 0, 0, -1, 1, 0, 2, 1, 0, -1, -2, -2, -1, 0, 0, 2, 0, -1, -1, -1, 0, 1, -1, -1, 0, 2, -1, 0, 0, 0, 0, 2, 1, 2, 1, -1, 0, 0, 0, 0, 1, 0, 0, -2, 2, 1, 1, 2, 0, 0, 2, 0, -1, -1, 0, 0, 1, 2, 3, 0, -2, -1, 0, 0, -2, 0, 1, 1, 1, 0, 1, -1, 1, 0, 0, -1, -2, 0, -2, 0, 0, -1, 0, -1, -1, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, -1, 2, 0, 0, 0, 1, -1, -1, 0, 0, 1, -1, 1, 3, 1, 1, -1, 1, -2, 0, -1, 0, -2, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, 0, 1, -1, 2, 2, 1, -2, -1, 0, 1, -1, 0, 0, 2, 0, -2, -1, 2, 0, 0, 0, 1, 1, -1, -2, 0, 1, -1, -1, -1, -1, 1, 1, -1, 0, 0, -1, -2, 0, 0, 2, 0, 0, 0, 0, 0, 1, -1, 1, 0, 3, 1, 2, 0, -1, 0, -1, 0, -1, 2, 0, 0, -1, -1, -2, 0, 0, 0, 0, -1, 1, 0, 2, 1, 0, -1, -2, -2, -1, 0, 0, 2, 0, -1, -1, -1, 0, 1, -1, -1, 0, 2, -1, 0, 0, 0, 0, 2, 1, 2, 1, -1, 0, 0, 0, 0, 1, 0, 0, -2, 2, 1, 1, 2, 0, 0, 2, 0, -1, -1, 0, 0, 1, 2, 3, 0, -2, -1, 0, 0, -2, 0, 1, 1, 1, 0, 1, -1, 1, 0, 0, -1, -2, 0, -2, 0, 0, -1, 0, -1, -1, 0, 0, 0, 0, 1, 0",21.3541565040626,"0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 1, 1, -1, 0, 0, 1, 0, 0, 0, 1, 0, -1, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, -1, -1, -1, 0, 0, 1, 0, 1, 0, 0, -1, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, -1, 0, 0, -1, 0, 0, 1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 1, 0, -1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 1, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 1, 1, -1, 0, 0, 1, 0, 0, 0, 1, 0, -1, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, -1, -1, -1, 0, 0, 1, 0, 1, 0, 0, -1, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, -1, 0, 0, -1, 0, 0, 1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 1, 0, -1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 1, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0",10.6770782520313,52,53,"{0, 47}","6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0","66, 51, 37, 39, 71, 18, 74, 37, 39, 71, 18, 74, 66, 51, 71, 18, 74, 66, 51, 37, 39, 74, 66, 51, 37, 39, 71, 18, 51, 37, 39, 71, 18, 74, 66, 39, 71, 18, 74, 66, 51, 37, 18, 74, 66, 51, 37, 39, 71, 85, 40, 111, 4, 100, 54, 109, 111, 4, 100, 54, 109, 85, 40, 100, 54, 109, 85, 40, 111, 4, 109, 85, 40, 111, 4, 100, 54, 40, 111, 4, 100, 54, 109, 85, 4, 100, 54, 109, 85, 40, 111, 54, 109, 85, 40, 111, 4, 100, 98, 86, 7, 99, 102, 37, 14, 7, 99, 102, 37, 14, 98, 86, 102, 37, 14, 98, 86, 7, 99, 14, 98, 86, 7, 99, 102, 37, 86, 7, 99, 102, 37, 14, 98, 99, 102, 37, 14, 98, 86, 7, 37, 14, 98, 86, 7, 99, 102, 33, 82, 75, 76, 92, 9, 37, 75, 76, 92, 9, 37, 33, 82, 92, 9, 37, 33, 82, 75, 76, 37, 33, 82, 75, 76, 92, 9, 82, 75, 76, 92, 9, 37, 33, 76, 92, 9, 37, 33, 82, 75, 9, 37, 33, 82, 75, 76, 92",74353.0709540844
