h,c,original: m,original: r,retrieved: m,retrieved: r,beta,total time (seconds)
"21, 65, 36, 112, 72, 14, 17, 69, 17, 22, 95, 18, 71, 17, 79, 56, 75, 76, 104, 78, 56, 2, 93, 12, 42, 71, 91, 19, 44, 67, 22, 108, 40, 6, 40, 87, 56, 27, 106, 105, 51, 100, 15, 67, 77, 25, 85, 87, 106, 67, 25, 86, 77, 42, 1, 34, 6, 96, 51, 53, 37, 96, 17, 62, 79, 84, 70, 38, 11, 88, 100, 71, 71, 63, 10, 40, 102, 111, 82, 111, 108, 44, 8, 13, 21, 42, 79, 10, 32, 16, 98, 71, 84, 74, 97, 20, 47, 46, 37, 58, 14, 12, 22, 87, 3, 97, 12, 81, 19, 19, 0, 82, 74, 7, 2, 9, 96, 102, 0, 8, 58, 72, 7, 47, 28, 10, 22, 20, 66, 40, 17, 109, 58, 70, 5, 48, 13, 0, 51, 48, 67, 59, 11, 19, 74, 36, 32, 40, 12, 73, 45, 6, 70, 106, 5, 0, 39, 72, 106, 59, 59, 99, 63, 88, 112, 57, 103, 68, 61, 6, 97, 16, 4, 107, 73, 50, 20, 51, 37, 26, 111, 22, 50, 12, 30, 108, 66, 93, 29, 111, 77, 34, 101, 1, 49, 3","60, 109, 6, 35, 82, 48, 94, 23, 53, 110, 77, 39, 79, 0, 0, 48, 41, 18, 42, 86, 7, 7, 94, 107, 81, 51, 3, 81, 21, 71, 27, 22, 50, 15, 13, 7, 73, 4, 12, 2, 104, 102, 45, 7, 63, 21, 90, 45, 98, 87, 100, 112, 99, 36, 88, 17, 81, 56, 80, 45, 27, 21, 68, 14, 17, 41, 52, 67, 18, 16, 93, 15, 30, 80, 67, 10, 52, 111, 12, 31, 40, 21, 97, 76, 87, 18, 1, 41, 10, 8, 2, 59, 106, 99, 32, 78, 59, 9, 56, 76, 58, 13, 78, 85, 71, 27, 53, 13, 18, 61, 26, 98, 111, 38, 56, 17, 4, 63, 103, 59, 26, 94, 80, 91, 111, 2, 80, 85, 17, 55, 55, 61, 48, 38, 73, 97, 10, 19, 78, 6, 78, 60, 13, 89, 3, 110, 49, 89, 45, 70, 77, 89, 78, 82, 5, 89, 77, 74, 57, 15, 23, 23, 2, 2, 28, 107, 25, 0, 7, 60, 103, 81, 102, 4, 68, 61, 62, 95, 0, 83, 105, 60, 50, 84, 43, 5, 46, 0, 64, 94, 77, 8, 40, 47, 70, 23","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, -1, -1, 0, -1, 0, 0, -1, 0, -1, -1, 0, 0, 1, 1, 0, 1, 0, -1, 0, 0, -1, -1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 1, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 0, 1, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, -1, -1, 0, 0, 0, 0, -1, 0, 0, -1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 1, 0, 0, 1, 0, -1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0","-1, 0, 0, 1, -1, 0, 1, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, -1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, -1, 0, 0, -1, 0, -1, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, -1, -1, 0, 0, 0, 0, -1, 0, 0, -1, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, -1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, -1","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, -1, -1, 0, -1, 0, 0, -1, 0, -1, -1, 0, 0, 1, 1, 0, 1, 0, -1, 0, 0, -1, -1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 1, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 0, 1, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, -1, -1, 0, 0, 0, 0, -1, 0, 0, -1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 1, 0, 0, 1, 0, -1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0","-1, 0, 0, 1, -1, 0, 1, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, -1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, -1, -1, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, -1, -1, 0, 0, 0, 0, -1, 0, 0, -1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -1, 0, 0, 1, -1, 0, 0, 0, 0, -1, -1, 0, 0, 0, 1",65,390989.82137966156
"0, 99, 37, 81, 33, 45, 5, 21, 21, 2, 83, 102, 58, 60, 74, 18, 11, 51, 93, 56, 58, 3, 9, 9, 34, 66, 32, 59, 10, 97, 62, 90, 84, 25, 98, 26, 48, 94, 42, 91, 3, 86, 99, 19, 104, 32, 83, 46, 33, 22, 47, 98, 56, 98, 93, 112, 19, 62, 32, 103, 43, 48, 30, 37, 42, 32, 99, 1, 41, 8, 49, 100, 12, 95, 82, 87, 54, 52, 22, 44, 67, 59, 81, 50, 73, 71, 80, 7, 111, 78, 77, 50, 71, 86, 18, 91, 19, 20, 7, 95, 37, 90, 101, 108, 29, 72, 27, 77, 93, 35, 12, 22, 27, 96, 16, 12, 18, 61, 38, 33, 56, 92, 64, 104, 34, 103, 49, 19, 13, 70, 23, 47, 28, 19, 85, 5, 18, 28, 97, 100, 19, 51, 12, 106, 18, 90, 33, 13, 93, 65, 8, 24, 71, 51, 42, 89, 86, 82, 3, 94, 10, 28, 92, 15, 64, 73, 36, 98, 109, 62, 39, 97, 28, 9, 16, 15, 10, 91, 52, 43, 82, 112, 81, 75, 6, 83, 74, 13, 100, 98, 56, 64, 109, 86, 6, 26","38, 53, 30, 25, 76, 7, 79, 81, 102, 8, 8, 111, 27, 18, 58, 57, 18, 98, 64, 99, 20, 65, 41, 19, 75, 39, 30, 31, 37, 36, 25, 9, 79, 45, 77, 26, 48, 36, 1, 100, 67, 68, 101, 1, 112, 9, 70, 75, 87, 79, 24, 98, 99, 40, 39, 34, 69, 39, 6, 32, 8, 72, 107, 99, 94, 95, 49, 55, 47, 24, 64, 47, 18, 98, 1, 10, 51, 112, 58, 61, 24, 11, 52, 87, 1, 108, 49, 35, 109, 47, 102, 57, 28, 61, 112, 65, 86, 62, 107, 38, 75, 32, 15, 80, 85, 28, 4, 92, 69, 29, 87, 66, 27, 15, 36, 63, 17, 32, 84, 27, 8, 53, 103, 24, 76, 9, 79, 7, 6, 69, 47, 61, 75, 14, 42, 4, 76, 36, 40, 92, 18, 31, 43, 82, 25, 65, 80, 46, 50, 46, 47, 7, 43, 7, 64, 104, 70, 56, 62, 73, 101, 32, 108, 53, 87, 106, 40, 13, 49, 51, 106, 12, 24, 5, 16, 29, 103, 36, 68, 67, 30, 85, 69, 24, 63, 21, 36, 31, 99, 3, 45, 15, 77, 82, 31, 107","1, 0, 1, 0, 0, -1, 0, 0, 1, 1, -1, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, 1, 1, -1, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, -1, 0, 1, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, -1, 1, -1, 0, -1, 0, 1","-1, 1, 0, 0, 1, 1, 0, -1, 0, -1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 1, 1, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, 1, 0, 0, 0, 1, -1, 1, 0, 0, 1, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, -1, 1, -1, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, -1, -1, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0","1, 0, 1, 0, 0, -1, 0, 0, 1, 1, -1, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, 1, 1, -1, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, -1, 0, 1, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, -1, 1, -1, 0, -1, 0, 1","-1, 1, 0, 0, 1, 1, 0, -1, 0, -1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, -1, -1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, 1, 0, 0, 0, 1, -1, 1, 0, 0, 1, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 1, -1, 1, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1, 1, 1, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0",66,803256.7917966843
"63, 89, 83, 17, 76, 71, 49, 50, 64, 103, 39, 31, 88, 108, 45, 22, 74, 31, 107, 87, 103, 111, 67, 111, 89, 37, 89, 97, 74, 98, 100, 70, 104, 25, 46, 25, 44, 26, 17, 11, 46, 60, 52, 100, 90, 33, 0, 19, 17, 17, 22, 19, 19, 97, 17, 89, 61, 78, 8, 65, 97, 47, 33, 86, 30, 84, 35, 7, 30, 54, 50, 48, 105, 0, 2, 90, 38, 80, 101, 16, 54, 22, 12, 77, 48, 6, 51, 65, 89, 12, 4, 10, 52, 38, 71, 32, 105, 65, 30, 14, 51, 37, 52, 90, 71, 40, 106, 54, 67, 44, 47, 31, 16, 68, 2, 104, 112, 76, 39, 101, 82, 7, 110, 69, 112, 23, 23, 103, 83, 32, 88, 77, 104, 105, 97, 26, 10, 71, 56, 91, 93, 65, 38, 57, 47, 86, 28, 25, 80, 73, 96, 97, 5, 69, 14, 22, 104, 1, 94, 59, 47, 97, 79, 28, 2, 57, 55, 60, 65, 64, 95, 47, 26, 13, 19, 80, 82, 88, 100, 16, 82, 98, 54, 53, 19, 75, 71, 107, 19, 50, 104, 53, 71, 12, 109, 18","67, 77, 18, 85, 89, 106, 43, 16, 36, 92, 28, 84, 70, 27, 5, 83, 13, 69, 95, 97, 88, 68, 33, 75, 91, 39, 11, 16, 41, 21, 111, 13, 91, 62, 78, 26, 106, 27, 94, 107, 97, 1, 14, 98, 98, 96, 5, 78, 53, 5, 93, 2, 97, 72, 5, 104, 15, 52, 34, 94, 84, 105, 108, 73, 51, 0, 72, 103, 6, 44, 43, 71, 45, 8, 28, 107, 1, 54, 62, 29, 65, 95, 97, 18, 98, 54, 65, 5, 30, 54, 111, 111, 27, 21, 15, 111, 32, 36, 101, 68, 51, 73, 12, 13, 78, 50, 18, 111, 89, 71, 100, 30, 37, 101, 104, 68, 75, 2, 102, 88, 51, 80, 82, 23, 102, 70, 31, 14, 4, 38, 100, 39, 80, 45, 97, 28, 104, 43, 112, 33, 68, 71, 102, 95, 71, 31, 108, 58, 66, 32, 106, 108, 78, 74, 27, 24, 59, 91, 101, 16, 63, 107, 22, 14, 78, 61, 36, 37, 66, 74, 43, 54, 106, 6, 44, 33, 85, 41, 104, 60, 54, 37, 90, 30, 98, 109, 40, 34, 25, 0, 13, 65, 61, 89, 70, 36","-1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 1, 1, -1, 0, -1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 1, 0, -1, 0, 0, 1, 0, 1, 0, 1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 1, -1, 0, 0, 1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, -1, -1, 0, 0, 1, 0, 0, -1, 0, 0, 1, -1, 0, 0, 1, -1","0, 0, 1, 0, 0, 0, 0, -1, 0, 1, 1, -1, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, -1, 1, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, -1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, -1, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, -1, 1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, -1, 1, -1, 1, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, -1, -1, 1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, -1, 0, 1, 0, 0, 0","-1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 1, 1, -1, 0, -1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 1, 0, -1, 0, 0, 1, 0, 1, 0, 1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 1, -1, 0, 0, 1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, -1, -1, 0, 0, 1, 0, 0, -1, 0, 0, 1, -1, 0, 0, 1, -1","0, 0, 1, 0, 0, 0, 0, -1, 0, 1, 1, -1, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, -1, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 1, -1, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, -1, 1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, -1, 1, -1, 1, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, 0, 1, 1, -1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 1, 0, -1, 0, 0, 0",65,447705.4799888134
