h,c,original: m,original: r,retrieved: m,retrieved: r,beta,total time (seconds)
"63, 41, 59, 14, 38, 50, 45, 57, 42, 68, 33, 69, 52, 5, 28, 65, 8, 8, 9, 3, 21, 17, 59, 13, 6, 60, 24, 7, 15, 52, 4, 1, 45, 39, 18, 1, 48, 18, 27, 22, 21, 69, 58, 13, 18, 31, 22, 16, 22, 31, 23, 38, 53, 69, 8, 57, 65, 55, 32, 43, 61, 43, 53, 0, 2, 44, 59, 12, 52, 12, 67, 10, 67, 1, 30, 4, 65, 15, 18, 46, 67, 22, 22, 9, 43, 19, 10, 68, 25, 70, 30, 47, 67, 23, 43, 32, 28, 8, 52, 15","13, 67, 5, 63, 24, 31, 19, 8, 12, 4, 41, 29, 17, 59, 70, 39, 7, 4, 13, 13, 1, 59, 22, 57, 33, 28, 68, 22, 70, 20, 56, 67, 53, 12, 30, 25, 15, 4, 41, 4, 53, 56, 11, 25, 63, 19, 0, 7, 10, 22, 62, 56, 16, 6, 16, 62, 66, 31, 41, 42, 15, 51, 63, 25, 65, 37, 17, 54, 63, 69, 42, 36, 14, 13, 32, 15, 8, 65, 3, 57, 67, 26, 10, 65, 9, 57, 49, 6, 43, 47, 19, 61, 23, 10, 9, 61, 58, 53, 5, 26","0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, -1, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 1, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 1, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0","0, 0, -1, 1, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0","0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, -1, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 1, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 1, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0","0, 0, -1, 1, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, -1",55,17012.502999067307
"19, 29, 65, 32, 11, 42, 9, 66, 28, 31, 3, 56, 6, 3, 54, 61, 46, 14, 6, 27, 21, 2, 25, 12, 61, 15, 42, 17, 4, 57, 31, 7, 1, 42, 32, 37, 33, 7, 22, 51, 6, 52, 23, 22, 62, 49, 57, 35, 46, 67, 35, 15, 22, 3, 64, 1, 70, 70, 66, 43, 63, 63, 48, 48, 44, 29, 29, 48, 26, 43, 43, 53, 62, 21, 42, 62, 27, 44, 14, 14, 51, 8, 5, 19, 40, 64, 64, 40, 2, 2, 63, 57, 40, 56, 69, 33, 36, 68, 61, 24","27, 66, 18, 32, 21, 8, 0, 2, 4, 2, 29, 11, 14, 29, 7, 48, 24, 70, 17, 65, 10, 62, 5, 6, 62, 16, 9, 69, 47, 68, 20, 19, 15, 30, 27, 66, 60, 64, 7, 7, 8, 34, 30, 63, 15, 64, 57, 24, 65, 39, 50, 17, 42, 45, 55, 59, 58, 63, 39, 52, 6, 44, 10, 32, 45, 16, 7, 64, 20, 39, 49, 62, 27, 42, 51, 22, 13, 69, 10, 25, 8, 8, 16, 62, 55, 10, 51, 6, 49, 60, 18, 1, 42, 31, 64, 15, 3, 7, 64, 1","0, 0, 0, -1, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 1, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, -1, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, -1, 0, 1, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0","0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 1, 0, 0, -1, 0, -1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, -1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, -1, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0","0, 0, 0, -1, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 1, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, -1, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, -1, 0, 1, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0","0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 1, 0, 0, -1, 0, -1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, -1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, -1, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, -1",55,12697.754536390305
"24, 39, 44, 20, 49, 56, 15, 47, 48, 25, 28, 53, 6, 2, 22, 13, 42, 55, 64, 15, 37, 39, 6, 52, 1, 28, 44, 13, 2, 63, 23, 53, 50, 38, 2, 8, 69, 2, 69, 62, 60, 69, 21, 62, 27, 17, 32, 47, 63, 55, 32, 20, 19, 65, 18, 57, 60, 25, 44, 69, 35, 12, 34, 41, 28, 44, 53, 56, 42, 31, 37, 8, 54, 9, 44, 9, 67, 3, 48, 70, 54, 19, 31, 29, 27, 58, 48, 33, 11, 69, 3, 48, 15, 0, 41, 58, 67, 58, 67, 14","50, 58, 40, 62, 1, 64, 60, 23, 17, 0, 56, 63, 24, 1, 39, 9, 25, 11, 39, 25, 7, 63, 64, 9, 42, 70, 53, 3, 60, 69, 27, 8, 0, 33, 12, 53, 59, 47, 62, 2, 55, 16, 61, 0, 43, 64, 32, 11, 64, 19, 64, 62, 62, 8, 52, 21, 46, 33, 54, 43, 6, 27, 45, 63, 56, 60, 13, 30, 54, 39, 52, 29, 40, 57, 49, 54, 8, 33, 21, 8, 60, 66, 24, 60, 32, 16, 11, 50, 17, 9, 13, 64, 24, 35, 18, 46, 1, 5, 63, 43","-1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 1, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 1, 0, -1, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, -1, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, -1, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 1, 0, -1, 1, 1, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1","-1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 1, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 1, 0, -1, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, -1, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, -1, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 1, 0, -1, 1, 1, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1",57,40197.58536672592
"3, 8, 34, 60, 68, 24, 67, 66, 29, 24, 3, 11, 45, 15, 41, 11, 46, 48, 21, 62, 37, 32, 0, 26, 64, 42, 16, 52, 18, 25, 12, 38, 58, 67, 13, 63, 39, 9, 30, 24, 41, 50, 13, 42, 41, 60, 3, 16, 18, 11, 38, 4, 42, 20, 24, 10, 67, 64, 40, 0, 36, 64, 22, 5, 54, 8, 31, 13, 7, 62, 23, 21, 49, 42, 6, 46, 4, 48, 8, 59, 40, 30, 6, 30, 1, 68, 49, 47, 39, 20, 53, 24, 41, 54, 42, 38, 50, 63, 58, 62","35, 19, 14, 49, 34, 29, 46, 50, 15, 48, 27, 28, 64, 17, 26, 21, 60, 64, 51, 29, 48, 5, 0, 66, 7, 27, 5, 5, 17, 38, 57, 54, 0, 24, 45, 20, 20, 56, 12, 10, 14, 34, 38, 0, 37, 0, 16, 22, 54, 34, 7, 10, 59, 0, 28, 27, 27, 53, 25, 39, 68, 3, 34, 2, 3, 39, 66, 70, 42, 0, 44, 59, 3, 16, 57, 19, 57, 5, 23, 66, 28, 39, 12, 30, 42, 66, 16, 32, 24, 5, 38, 29, 34, 4, 43, 22, 18, 4, 6, 48","0, 0, 0, -1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 1, 0, 1, -1, 0, 0, 1, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0","-1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 1, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, -1, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0","0, 0, 0, -1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 1, 0, 1, -1, 0, 0, 1, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0","-1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 1, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, -1, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, -1",57,44206.54191207886
"48, 54, 31, 70, 23, 69, 6, 19, 49, 27, 28, 15, 1, 68, 14, 51, 65, 60, 51, 45, 68, 44, 40, 12, 20, 13, 54, 39, 32, 19, 64, 66, 69, 34, 3, 48, 49, 2, 18, 28, 0, 66, 37, 31, 37, 46, 51, 43, 15, 22, 1, 18, 10, 6, 10, 26, 20, 22, 51, 42, 15, 31, 44, 62, 41, 29, 46, 21, 48, 16, 20, 65, 8, 39, 6, 28, 58, 4, 13, 56, 55, 42, 41, 43, 2, 25, 0, 18, 52, 42, 13, 64, 3, 31, 31, 60, 0, 3, 60, 16","41, 39, 5, 29, 41, 27, 6, 41, 52, 16, 47, 9, 37, 14, 17, 38, 14, 48, 0, 44, 26, 34, 54, 16, 15, 58, 0, 34, 29, 46, 57, 9, 42, 48, 38, 66, 64, 23, 20, 25, 66, 32, 10, 63, 35, 13, 68, 60, 47, 41, 31, 43, 5, 16, 43, 23, 66, 18, 18, 61, 3, 61, 62, 8, 22, 62, 11, 50, 30, 31, 56, 1, 32, 10, 18, 55, 17, 3, 37, 42, 70, 60, 45, 1, 54, 41, 4, 19, 60, 50, 22, 5, 64, 12, 46, 30, 34, 47, 2, 32","0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 1, 1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, -1, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, -1, 0, 0, 1, -1, 0, 0, 0, 0, 1, 0, 0, -1, 1, 0, 0, 0, 1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, -1, 0, 0, 0, -1, 0, 0","0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 1, 1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, -1, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, -1, 0, 0, 1, -1, 0, 0, 0, 0, 1, 0, 0, -1, 1, 0, 0, 0, 1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, -1, 0, 0, 0, -1, 0, 0, -1",56,30673.980174779892
"22, 30, 59, 19, 47, 28, 56, 2, 61, 22, 47, 26, 65, 54, 59, 30, 27, 30, 41, 18, 21, 67, 6, 3, 20, 55, 45, 11, 11, 18, 20, 54, 8, 12, 50, 7, 7, 53, 57, 23, 70, 40, 15, 31, 52, 69, 57, 41, 16, 64, 22, 23, 48, 27, 35, 9, 54, 59, 48, 53, 10, 31, 56, 45, 63, 29, 13, 6, 29, 58, 44, 21, 0, 36, 70, 61, 64, 40, 47, 35, 60, 45, 6, 19, 46, 41, 56, 25, 8, 52, 10, 64, 54, 24, 58, 3, 41, 60, 25, 15","41, 46, 38, 1, 16, 61, 41, 25, 69, 21, 23, 25, 24, 39, 67, 16, 18, 4, 27, 49, 25, 56, 62, 66, 63, 32, 64, 32, 63, 61, 69, 19, 21, 44, 7, 19, 57, 4, 15, 0, 54, 32, 21, 47, 18, 55, 45, 50, 45, 49, 17, 25, 5, 14, 47, 41, 54, 9, 6, 31, 0, 60, 62, 36, 24, 25, 28, 43, 3, 3, 37, 27, 59, 27, 27, 31, 28, 62, 45, 39, 43, 9, 40, 19, 39, 0, 56, 19, 64, 18, 31, 45, 9, 61, 34, 65, 4, 35, 11, 45","0, 0, 0, 1, 0, -1, 0, 0, 1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 1","0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, -1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0","0, 0, 0, 1, 0, -1, 0, 0, 1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 1","0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, -1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1",55,16449.220103025436
"30, 2, 66, 55, 25, 27, 0, 28, 49, 51, 59, 54, 45, 32, 43, 50, 37, 23, 1, 47, 44, 31, 10, 63, 2, 16, 17, 7, 16, 31, 36, 11, 43, 2, 17, 58, 16, 39, 50, 51, 68, 53, 16, 67, 25, 0, 67, 69, 58, 44, 28, 31, 40, 58, 32, 20, 52, 12, 12, 1, 0, 57, 69, 29, 34, 55, 26, 22, 70, 3, 4, 67, 60, 23, 19, 42, 40, 15, 17, 1, 28, 34, 25, 30, 70, 13, 58, 23, 68, 61, 33, 36, 11, 14, 60, 54, 40, 10, 39, 12","33, 59, 26, 70, 70, 53, 8, 15, 36, 22, 51, 37, 1, 23, 11, 36, 57, 50, 64, 57, 13, 21, 25, 64, 21, 42, 56, 12, 47, 63, 44, 53, 19, 62, 27, 64, 8, 39, 26, 63, 53, 46, 38, 52, 67, 13, 35, 70, 26, 40, 39, 3, 38, 41, 29, 50, 60, 29, 1, 39, 58, 6, 0, 0, 15, 35, 21, 6, 49, 46, 7, 67, 60, 12, 70, 32, 51, 19, 2, 65, 45, 61, 59, 58, 56, 2, 66, 30, 12, 14, 37, 62, 62, 22, 12, 46, 63, 49, 23, 46","0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, -1, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, -1, -1, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0","1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, -1, 0, -1, 0, 0, 1, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 1, 0, 0, -1, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0","0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, -1, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, -1, -1, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0","1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, -1, 0, -1, 0, 0, 1, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 1, 0, 0, -1, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1",55,8393.273271799088
